Training dimension 1...
Epoch  35:  Train Loss: 1.0957e+01,  Validation Loss: 1.0975e+01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.29215
Epoch  36:  Train Loss: 1.0958e+01,  Validation Loss: 1.0916e+01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.29649
Epoch  37:  Train Loss: 1.0961e+01,  Validation Loss: 1.0925e+01,  Epoch Time: 0.40s,  Current Pruning Threshold: 0.29912
Epoch  38:  Train Loss: 1.0960e+01,  Validation Loss: 1.0943e+01,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.3
Epoch  39:  Train Loss: 1.0949e+01,  Validation Loss: 1.0922e+01,  Epoch Time: 0.40s,  Current Pruning Threshold: 0.3
Epoch  40:  Train Loss: 1.0948e+01,  Validation Loss: 1.0925e+01,  Epoch Time: 0.45s,  Current Pruning Threshold: 0.3
Epoch  41:  Train Loss: 4.8747e+02,  Validation Loss: 3.2745e-01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch  42:  Train Loss: 1.9204e-01,  Validation Loss: 1.3015e-01,  Epoch Time: 0.45s,  Current Pruning Threshold: 0
Epoch  43:  Train Loss: 1.0082e-01,  Validation Loss: 7.8627e-02,  Epoch Time: 0.45s,  Current Pruning Threshold: 0
Epoch  44:  Train Loss: 7.7624e-02,  Validation Loss: 6.1268e-02,  Epoch Time: 0.39s,  Current Pruning Threshold: 0
Epoch  45:  Train Loss: 6.1066e-02,  Validation Loss: 4.9210e-02,  Epoch Time: 0.38s,  Current Pruning Threshold: 0
Epoch  46:  Train Loss: 5.3608e-02,  Validation Loss: 6.1832e-02,  Epoch Time: 0.37s,  Current Pruning Threshold: 0
Epoch  47:  Train Loss: 1.5712e-01,  Validation Loss: 1.6490e+00,  Epoch Time: 0.40s,  Current Pruning Threshold: 0
Epoch  48:  Train Loss: 1.4553e+01,  Validation Loss: 1.8643e+01,  Epoch Time: 0.43s,  Current Pruning Threshold: 0
Epoch  49:  Train Loss: 8.4094e+01,  Validation Loss: 9.8419e-01,  Epoch Time: 0.39s,  Current Pruning Threshold: 0
Epoch  50:  Train Loss: 3.2478e-01,  Validation Loss: 6.6688e-02,  Epoch Time: 0.40s,  Current Pruning Threshold: 0.00087931
Epoch  51:  Train Loss: 3.0887e+00,  Validation Loss: 1.5497e+00,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.0035069
Epoch  52:  Train Loss: 1.2848e+00,  Validation Loss: 1.0312e+00,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.007852
Epoch  53:  Train Loss: 1.0955e+00,  Validation Loss: 9.4984e-01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.013864
Epoch  54:  Train Loss: 9.6254e-01,  Validation Loss: 8.9223e-01,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.021471
Epoch  55:  Train Loss: 1.1833e+00,  Validation Loss: 9.7749e-01,  Epoch Time: 0.39s,  Current Pruning Threshold: 0.030586
Epoch  56:  Train Loss: 1.1357e+00,  Validation Loss: 1.0312e+00,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.041101
Epoch  57:  Train Loss: 1.2155e+00,  Validation Loss: 1.1021e+00,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.052892
Epoch  58:  Train Loss: 1.0181e+00,  Validation Loss: 9.2432e-01,  Epoch Time: 0.47s,  Current Pruning Threshold: 0.065822
Epoch  59:  Train Loss: 1.0339e+00,  Validation Loss: 8.9807e-01,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.079739
Epoch  60:  Train Loss: 7.9844e-01,  Validation Loss: 6.8663e-01,  Epoch Time: 0.39s,  Current Pruning Threshold: 0.094479
Epoch  61:  Train Loss: 1.0609e+00,  Validation Loss: 7.9275e-01,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.10987
Epoch  62:  Train Loss: 5.9537e-01,  Validation Loss: 4.4146e-01,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.12573
Epoch  63:  Train Loss: 3.2627e-01,  Validation Loss: 2.3417e-01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.14188
Epoch  64:  Train Loss: 1.6776e-01,  Validation Loss: 1.1466e-01,  Epoch Time: 0.39s,  Current Pruning Threshold: 0.15812
Epoch  65:  Train Loss: 7.8469e-02,  Validation Loss: 4.9885e-02,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.17427
Epoch  66:  Train Loss: 3.2286e-02,  Validation Loss: 1.8883e-02,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.19013
Epoch  67:  Train Loss: 1.1317e-02,  Validation Loss: 5.8945e-03,  Epoch Time: 0.40s,  Current Pruning Threshold: 0.20552
Epoch  68:  Train Loss: 3.2305e-03,  Validation Loss: 1.4718e-03,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.22026
Epoch  69:  Train Loss: 7.1978e-04,  Validation Loss: 2.6795e-04,  Epoch Time: 0.39s,  Current Pruning Threshold: 0.23418
Epoch  70:  Train Loss: 1.1764e-04,  Validation Loss: 3.4826e-05,  Epoch Time: 0.45s,  Current Pruning Threshold: 0.24711
Epoch  71:  Train Loss: 1.3306e-05,  Validation Loss: 2.9119e-06,  Epoch Time: 0.46s,  Current Pruning Threshold: 0.2589
Epoch  72:  Train Loss: 9.5097e-07,  Validation Loss: 1.4097e-07,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.26941
Epoch  73:  Train Loss: 3.9369e-08,  Validation Loss: 3.8719e-09,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.27853
Epoch  74:  Train Loss: 1.1040e-09,  Validation Loss: 6.7066e-10,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.28614
Epoch  75:  Train Loss: 5.6379e-10,  Validation Loss: 4.4883e-10,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.29215
Epoch  76:  Train Loss: 3.9006e-10,  Validation Loss: 3.0822e-10,  Epoch Time: 0.39s,  Current Pruning Threshold: 0.29649
