Epoch  35:  Train Loss: 5.6146e-02,  Validation Loss: 4.9682e-02,  Epoch Time: 0.93s,  Current Pruning Threshold: 0
Epoch  36:  Train Loss: 4.9597e-02,  Validation Loss: 4.2450e-02,  Epoch Time: 0.92s,  Current Pruning Threshold: 0
Epoch  37:  Train Loss: 4.3572e-02,  Validation Loss: 6.0830e-02,  Epoch Time: 0.92s,  Current Pruning Threshold: 0
Epoch  38:  Train Loss: 1.1845e+00,  Validation Loss: 6.4885e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.0016754
Epoch  39:  Train Loss: 8.9338e-01,  Validation Loss: 7.3717e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.0066641
Epoch  40:  Train Loss: 1.2566e+00,  Validation Loss: 8.7288e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.014855
Epoch  41:  Train Loss: 1.7101e+00,  Validation Loss: 1.4038e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.026064
Epoch  42:  Train Loss: 1.3962e+00,  Validation Loss: 1.3073e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.040042
Epoch  43:  Train Loss: 1.4234e+00,  Validation Loss: 1.3038e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.056477
Epoch  44:  Train Loss: 1.1831e+00,  Validation Loss: 1.0813e+00,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.075
Epoch  45:  Train Loss: 1.1285e+00,  Validation Loss: 1.0007e+00,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.095199
Epoch  46:  Train Loss: 1.4353e+00,  Validation Loss: 1.1182e+00,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.11662
Epoch  47:  Train Loss: 8.8279e-01,  Validation Loss: 6.7771e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.13879
Epoch  48:  Train Loss: 5.3031e-01,  Validation Loss: 3.9722e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.16121
Epoch  49:  Train Loss: 3.0222e-01,  Validation Loss: 2.1720e-01,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.18338
Epoch  50:  Train Loss: 1.5965e-01,  Validation Loss: 1.0919e-01,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.2048
Epoch  51:  Train Loss: 7.6355e-02,  Validation Loss: 4.8904e-02,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.225
Epoch  52:  Train Loss: 3.2212e-02,  Validation Loss: 1.8944e-02,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.24352
Epoch  53:  Train Loss: 1.1554e-02,  Validation Loss: 6.0535e-03,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.25996
Epoch  54:  Train Loss: 3.4003e-03,  Validation Loss: 1.5409e-03,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.27394
Epoch  55:  Train Loss: 7.8024e-04,  Validation Loss: 2.9502e-04,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.28515
Epoch  56:  Train Loss: 1.3271e-04,  Validation Loss: 4.0048e-05,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.29334
Epoch  57:  Train Loss: 1.5691e-05,  Validation Loss: 3.5329e-06,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.29832
Epoch  58:  Train Loss: 1.1974e-06,  Validation Loss: 1.8395e-07,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.3
Epoch  59:  Train Loss: 5.3064e-08,  Validation Loss: 6.0386e-09,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.3
Epoch  60:  Train Loss: 1.6856e-09,  Validation Loss: 7.8349e-10,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.3
Early stopping at epoch 60 as train loss 0.0000000008 is below the threshold 0.0000000100
Traininng Stopped. Time elapsed: 55.00s
Training dimension 3...
Epoch   1:  Train Loss: 5.6520e+02,  Validation Loss: 3.2964e+00,  Epoch Time: 0.96s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 2.4096e+00,  Validation Loss: 1.6698e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 1.4712e+00,  Validation Loss: 1.1355e+00,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 1.1086e+00,  Validation Loss: 9.2804e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 9.3507e-01,  Validation Loss: 9.0937e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 8.6018e-01,  Validation Loss: 7.5181e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 9.5428e-01,  Validation Loss: 7.4190e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 5.8990e-01,  Validation Loss: 4.4179e-01,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.0016754
Epoch   9:  Train Loss: 9.4401e+00,  Validation Loss: 2.0222e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.0066641
Epoch  10:  Train Loss: 4.2518e+00,  Validation Loss: 2.6191e+00,  Epoch Time: 0.95s,  Current Pruning Threshold: 0.014855
Epoch  11:  Train Loss: 8.0605e+00,  Validation Loss: 3.9827e+00,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.026064
Epoch  12:  Train Loss: 5.7674e+00,  Validation Loss: 5.2531e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.040042
Epoch  13:  Train Loss: 6.6957e+00,  Validation Loss: 6.4545e+00,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.056477
Epoch  14:  Train Loss: 6.5345e+00,  Validation Loss: 6.4041e+00,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.075
Epoch  15:  Train Loss: 7.5858e+00,  Validation Loss: 7.4082e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.095199
Epoch  16:  Train Loss: 7.4697e+00,  Validation Loss: 7.2920e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.11662
Epoch  17:  Train Loss: 7.8732e+00,  Validation Loss: 7.5342e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.13879
Epoch  18:  Train Loss: 7.4358e+00,  Validation Loss: 7.2427e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.16121
Epoch  19:  Train Loss: 1.2947e+01,  Validation Loss: 1.2465e+01,  Epoch Time: 0.95s,  Current Pruning Threshold: 0.18338
Epoch  20:  Train Loss: 1.2080e+01,  Validation Loss: 1.1922e+01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.2048
Epoch  21:  Train Loss: 1.1229e+01,  Validation Loss: 1.1255e+01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.225
Epoch  22:  Train Loss: 1.0668e+01,  Validation Loss: 1.0739e+01,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.24352
Epoch  23:  Train Loss: 1.0275e+01,  Validation Loss: 1.0380e+01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.25996
Epoch  24:  Train Loss: 1.3581e+01,  Validation Loss: 1.3293e+01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.27394
Epoch  25:  Train Loss: 1.2579e+01,  Validation Loss: 1.2526e+01,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.28515
Epoch  26:  Train Loss: 1.2065e+01,  Validation Loss: 1.2083e+01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.29334
Epoch  27:  Train Loss: 1.1744e+01,  Validation Loss: 1.1833e+01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.29832
Epoch  28:  Train Loss: 1.1562e+01,  Validation Loss: 1.1676e+01,  Epoch Time: 0.99s,  Current Pruning Threshold: 0.3
Epoch  29:  Train Loss: 1.1457e+01,  Validation Loss: 1.1584e+01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.3
Epoch  30:  Train Loss: 1.1418e+01,  Validation Loss: 1.1482e+01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.3
Epoch  31:  Train Loss: 7.0907e+02,  Validation Loss: 4.2860e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch  32:  Train Loss: 2.3423e-01,  Validation Loss: 1.1865e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0
Epoch  33:  Train Loss: 9.4418e-02,  Validation Loss: 6.4855e-02,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
