Total Dimensions: 60
Training dimension 1...
Epoch 100:  Train Loss: 2.391e-04,  Validation Loss: 1.051e-04,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.083822
Epoch 101:  Train Loss: 3.459e-04,  Validation Loss: 2.073e-04,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.094586
Epoch 102:  Train Loss: 4.941e-04,  Validation Loss: 3.474e-04,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.10541
Epoch 103:  Train Loss: 6.041e-04,  Validation Loss: 4.707e-04,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.11618
Epoch 104:  Train Loss: 6.575e-04,  Validation Loss: 5.542e-04,  Epoch Time: 0.82s,  Current Pruning Threshold: 0.12675
Epoch 105:  Train Loss: 7.854e-04,  Validation Loss: 8.016e-04,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.13701
Epoch 106:  Train Loss: 9.425e-04,  Validation Loss: 9.181e-04,  Epoch Time: 0.84s,  Current Pruning Threshold: 0.14684
Epoch 107:  Train Loss: 1.108e-03,  Validation Loss: 9.761e-04,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.15612
Epoch 108:  Train Loss: 1.144e-03,  Validation Loss: 1.066e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.16474
Epoch 109:  Train Loss: 1.166e-03,  Validation Loss: 1.146e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.1726
Epoch 110:  Train Loss: 1.222e-03,  Validation Loss: 1.152e-03,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.17961
Epoch 111:  Train Loss: 1.310e-03,  Validation Loss: 1.304e-03,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.18569
Epoch 112:  Train Loss: 1.293e-03,  Validation Loss: 1.265e-03,  Epoch Time: 0.82s,  Current Pruning Threshold: 0.19076
Epoch 113:  Train Loss: 1.314e-03,  Validation Loss: 1.243e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.19477
Epoch 114:  Train Loss: 1.394e-03,  Validation Loss: 1.396e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.19766
Epoch 115:  Train Loss: 1.446e-03,  Validation Loss: 1.369e-03,  Epoch Time: 0.88s,  Current Pruning Threshold: 0.19941
