Total Dimensions: 100
Training dimension 1...
/opt/anaconda3/envs/tf/lib/python3.10/site-packages/keras/initializers/initializers_v2.py:120: UserWarning: The initializer RandomNormal is unseeded and being called multiple times, which will return identical values  each time (even if the initializer is unseeded). Please update your code to provide a seed to the initializer, or avoid using the same initalizer instance more than once.
  warnings.warn(
Epoch  23:  Train Loss: 9.770e-03,  Validation Loss: 3.887e-03,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.061063
Epoch  24:  Train Loss: 2.615e-03,  Validation Loss: 7.213e-04,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.073223
Epoch  25:  Train Loss: 4.211e-04,  Validation Loss: 1.061e-04,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.086285
Epoch  26:  Train Loss: 1.978e-05,  Validation Loss: 1.031e-05,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.10018
Epoch  27:  Train Loss: 8.828e-06,  Validation Loss: 9.803e-07,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.11484
Epoch  28:  Train Loss: 1.614e-10,  Validation Loss: 1.263e-14,  Epoch Time: 0.49s,  Current Pruning Threshold: 0.13019
Epoch  29:  Train Loss: 1.647e-15,  Validation Loss: 1.641e-15,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.14615
Early stopping at epoch 29 as train loss 0.00000000000000 is below the threshold 0.00000000010000
Traininng Stopped. Time elapsed: 12.86s
Training dimension 6...
Epoch   1:  Train Loss: 1.451e+02,  Validation Loss: 3.608e+00,  Epoch Time: 0.48s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 1.728e+00,  Validation Loss: 9.749e-01,  Epoch Time: 0.46s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 6.122e-01,  Validation Loss: 4.887e-01,  Epoch Time: 0.46s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 3.304e-01,  Validation Loss: 2.995e-01,  Epoch Time: 0.48s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 2.120e-01,  Validation Loss: 2.046e-01,  Epoch Time: 0.45s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 1.514e-01,  Validation Loss: 1.532e-01,  Epoch Time: 0.44s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 1.148e-01,  Validation Loss: 1.184e-01,  Epoch Time: 0.45s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 9.454e-02,  Validation Loss: 9.565e-02,  Epoch Time: 0.41s,  Current Pruning Threshold: 0
Epoch   9:  Train Loss: 8.233e-02,  Validation Loss: 8.830e-02,  Epoch Time: 0.51s,  Current Pruning Threshold: 0
Epoch  10:  Train Loss: 8.889e-02,  Validation Loss: 9.955e-02,  Epoch Time: 0.45s,  Current Pruning Threshold: 0
Epoch  11:  Train Loss: 1.094e-01,  Validation Loss: 1.205e-01,  Epoch Time: 0.46s,  Current Pruning Threshold: 0
Epoch  12:  Train Loss: 1.890e-01,  Validation Loss: 2.129e-01,  Epoch Time: 0.43s,  Current Pruning Threshold: 0
Epoch  13:  Train Loss: 1.754e-01,  Validation Loss: 1.376e-01,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch  14:  Train Loss: 1.124e-01,  Validation Loss: 8.541e-02,  Epoch Time: 0.52s,  Current Pruning Threshold: 0.00063697
Epoch  15:  Train Loss: 8.146e-02,  Validation Loss: 7.117e-02,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.0025446
Epoch  16:  Train Loss: 4.896e-02,  Validation Loss: 4.579e-02,  Epoch Time: 0.46s,  Current Pruning Threshold: 0.0057133
Epoch  17:  Train Loss: 3.905e-02,  Validation Loss: 3.345e-02,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.010127
Epoch  18:  Train Loss: 2.867e-02,  Validation Loss: 2.261e-02,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.015763
Epoch  19:  Train Loss: 2.445e-02,  Validation Loss: 1.451e-02,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.022592
Epoch  20:  Train Loss: 2.070e-02,  Validation Loss: 1.043e-02,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.03058
Epoch  21:  Train Loss: 2.101e-02,  Validation Loss: 1.044e-02,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.039687
Epoch  22:  Train Loss: 1.988e-02,  Validation Loss: 9.759e-03,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.049865
Epoch  23:  Train Loss: 1.458e-02,  Validation Loss: 6.822e-03,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.061063
Epoch  24:  Train Loss: 6.054e-03,  Validation Loss: 1.735e-03,  Epoch Time: 0.40s,  Current Pruning Threshold: 0.073223
Epoch  25:  Train Loss: 1.301e-03,  Validation Loss: 3.179e-04,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.086285
