Training dimension 1...
Epoch 1000:  Train Loss: 5.4800e-01,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Traininng Stopped. Time elapsed: 77.13s
Training dimension 5...
Epoch  20:  Train Loss: 4.3630e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch  40:  Train Loss: 2.6554e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.00089753
Epoch  60:  Train Loss: 1.9889e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.0090592
Epoch  80:  Train Loss: 1.6719e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.024394
Epoch 100:  Train Loss: 1.8244e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.044215
Epoch 120:  Train Loss: 1.8768e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 140:  Train Loss: 1.7505e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.083247
Epoch 160:  Train Loss: 1.7631e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.09562
Epoch 180:  Train Loss: 1.6506e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 200:  Train Loss: 1.7730e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 220:  Train Loss: 2.2315e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch 240:  Train Loss: 2.1714e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.00089753
Epoch 260:  Train Loss: 1.9297e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.0090592
Epoch 280:  Train Loss: 1.5922e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.024394
Epoch 300:  Train Loss: 1.5160e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.044215
Epoch 320:  Train Loss: 1.5874e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 340:  Train Loss: 1.7148e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.083247
Epoch 360:  Train Loss: 1.5393e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.09562
Epoch 380:  Train Loss: 1.5382e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 400:  Train Loss: 1.5246e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 420:  Train Loss: 1.8628e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch 440:  Train Loss: 2.3745e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.00089753
Epoch 460:  Train Loss: 1.7671e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.0090592
Epoch 480:  Train Loss: 1.4975e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.024394
Epoch 500:  Train Loss: 1.5384e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.044215
Epoch 520:  Train Loss: 1.6031e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 540:  Train Loss: 1.4896e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.083247
Epoch 560:  Train Loss: 1.6255e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.09562
Epoch 580:  Train Loss: 1.4987e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 600:  Train Loss: 1.5886e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 620:  Train Loss: 1.9760e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch 640:  Train Loss: 2.2993e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.00089753
Epoch 660:  Train Loss: 1.7156e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.0090592
Epoch 680:  Train Loss: 1.5786e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.024394
Epoch 700:  Train Loss: 1.5502e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.044215
Epoch 720:  Train Loss: 1.6370e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.065049
Epoch 740:  Train Loss: 1.6435e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.083247
Epoch 760:  Train Loss: 1.6236e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.09562
Epoch 780:  Train Loss: 1.4930e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 800:  Train Loss: 1.6337e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.1
Epoch 820:  Train Loss: 2.1298e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0
Epoch 840:  Train Loss: 2.1622e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.00089753
Epoch 860:  Train Loss: 1.7512e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.0090592
Epoch 880:  Train Loss: 1.4259e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.024394
