Total Dimensions: 20
Training dimension 1...
Epoch  23 (Period 1):  Train Loss: 2.792e-05,  Validation Loss: 6.403e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.040072
Epoch  24 (Period 1):  Train Loss: 6.430e-06,  Validation Loss: 2.697e-06,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.045936
Epoch  25 (Period 1):  Train Loss: 4.786e-05,  Validation Loss: 1.097e-06,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.052075
Epoch  26 (Period 1):  Train Loss: 4.594e-07,  Validation Loss: 3.638e-07,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.058458
Epoch  27 (Period 1):  Train Loss: 3.775e-07,  Validation Loss: 3.124e-07,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.065054
Epoch  28 (Period 1):  Train Loss: 5.693e-05,  Validation Loss: 1.038e-08,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.071827
Epoch  29 (Period 1):  Train Loss: 3.464e-08,  Validation Loss: 3.634e-08,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.078743
Epoch  30 (Period 1):  Train Loss: 3.174e-09,  Validation Loss: 4.761e-13,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.085769
Epoch  31 (Period 1):  Train Loss: 1.298e-13,  Validation Loss: 3.397e-16,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.092866
Epoch  32 (Period 1):  Train Loss: 1.275e-16,  Validation Loss: 6.655e-17,  Epoch Time: 0.14s,  Current Pruning Threshold: 0.1
Epoch  33 (Period 1):  Train Loss: 8.752e-17,  Validation Loss: 8.061e-17,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.10713
Early stopping at epoch 33 as train loss 0.00000000000000 is below the threshold 0.00000000010000
Training Stopped. Time elapsed: 3.22s
Final model saved as best with loss: 8.060511e-17
Training dimension 6...
Epoch   1 (Period 1):  Train Loss: 1.515e-01,  Validation Loss: 1.081e-02,  Epoch Time: 0.16s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 4.384e-03,  Validation Loss: 1.230e-03,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 6.428e-04,  Validation Loss: 3.958e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 3.046e-04,  Validation Loss: 2.368e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 1.994e-04,  Validation Loss: 1.604e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 1.321e-04,  Validation Loss: 1.167e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 1.081e-04,  Validation Loss: 1.072e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
