Epoch 118 (Period 3):  Train Loss: 1.116e-01,  Validation Loss: 7.144e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.0017878
Epoch 119 (Period 3):  Train Loss: 1.497e-01,  Validation Loss: 6.181e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.0026304
Epoch 120 (Period 3):  Train Loss: 5.394e-01,  Validation Loss: 3.277e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.0038302
Epoch 121 (Period 3):  Train Loss: 1.756e-02,  Validation Loss: 2.721e-02,  Epoch Time: 0.88s,  Current Pruning Threshold: 0.0054962
Epoch 122 (Period 3):  Train Loss: 1.192e-01,  Validation Loss: 1.022e-01,  Epoch Time: 0.87s,  Current Pruning Threshold: 0.0077317
Epoch 123 (Period 3):  Train Loss: 2.728e-02,  Validation Loss: 6.886e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.010597
Epoch 124 (Period 3):  Train Loss: 2.318e-02,  Validation Loss: 5.895e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.014061
Epoch 125 (Period 3):  Train Loss: 1.314e-02,  Validation Loss: 4.285e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.017966
Epoch 126 (Period 3):  Train Loss: 9.563e-03,  Validation Loss: 1.709e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.022034
Epoch 127 (Period 3):  Train Loss: 3.974e-03,  Validation Loss: 1.861e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.025939
Epoch 128 (Period 3):  Train Loss: 2.877e-03,  Validation Loss: 8.377e-04,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.029403
Epoch 129 (Period 3):  Train Loss: 2.058e-03,  Validation Loss: 9.478e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.032268
Epoch 130 (Period 3):  Train Loss: 1.124e-03,  Validation Loss: 8.634e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.034504
Epoch 131 (Period 3):  Train Loss: 9.803e-04,  Validation Loss: 9.240e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.03617
Epoch 132 (Period 3):  Train Loss: 8.540e-04,  Validation Loss: 8.853e-04,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.03737
